FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.60017006,141.0434091
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60016085,141.0434158
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60015471,141.0434294
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60015074,141.0434333
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.60013899,141.0434382
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.60011801,141.04346
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59990978,141.043545
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59989857,141.0435452
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.5998826,141.043554
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59976058,141.043798
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59975066,141.0438159
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59963286,141.0442365
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59922568,141.0333252
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59922299,141.0333367
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59922045,141.0333417
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.5992171,141.0333458
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59921736,141.0332946
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59921307,141.0332805
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59578489,141.0321732
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59602366,141.0454809
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59600455,141.0454511
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59570601,141.045234
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59550614,141.045697
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.59550005,141.045691
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59549899,141.0456609
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0001,-34.59549349,141.0457122
