ROW,SCHOOL_NO,Fire_Risk_Category_2023-24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District
1,5566,CAT 2,Aireys Inlet Primary School,Government,13 Anderson Street,Aireys Inlet,Surf Coast,Central
2,2101,CAT 2,Alice Miller School,Independent,110 Bailey Road,Macedon,Macedon Ranges,Central
3,1637,CAT 3,Amphitheatre Primary School,Government,16 School Road,Amphitheatre,Pyrenees,South West
4,1910,CAT 3,Anakie Primary School,Government,2125-2135 Ballan Road,Anakie,Greater Geelong,Central
5,5104,CAT 3,Andersons Creek Primary School,Government,36-42 Drysdale Road,Warrandyte,Manningham,Central
6,4332,CAT 2,Anglesea Primary School,Government,85 Camp Road,Anglesea,Surf Coast,Central
7,4844,CAT 3,Antonio Park Primary School,Government,631-639 Whitehorse Road,Mitcham,Whitehorse,Central
8,1208,CAT 3,Apsley Primary School,Government,46 Laidlaw Street,Apsley,West Wimmera,Wimmera
9,4995,CAT 3,Ararat North Primary School,Government,66 Blake Street,Ararat,Ararat,South West
10,1666,CAT 3,Arthurs Creek Primary School,Government,900 Arthurs Creek Road,Arthurs Creek,Nillumbik,Central
11,8,CAT 3,Avenel Primary School,Government,40 Anderson Street,Avenel,Strathbogie,Northern Country
12,3309,CAT 3,Badger Creek Primary School,Government,Badger Creek Rd,Healesville,Yarra Ranges,Central
13,1984,CAT 3,Ballarat Steiner School,Independent,244 Moss Avenue,Mt Helen,Ballarat,Central
14,3787,CAT 3,Balliang East Primary School,Government,4 School Road,Balliang East,Moorabool,Central
15,1698,CAT 3,Balnarring Primary School,Government,1 Civic Court,Balnarring,Mornington Peninsula,Central
16,1489,CAT 3,Barnawartha Primary School,Government,11-17 Stanely Street,Barnawartha,Indigo,North East
17,5195,CAT 3,Bass Valley Primary School,Government,70 Corinella Road,Corinella,Bass Coast,Central
18,1837,CAT 3,Bayside Christian College,Independent,120-128 Robinsons Road,Langwarrin South,Frankston,Central
19,2560,CAT 2,Beaconsfield Upper Primary School,Government,40 Stoney Creek Road,Beaconsfield Upper,Cardinia,Central
20,749,CAT 3,Bealiba Primary School,Government,9 Grant Street,Bealiba,Central Goldfields,North Central
21,2042,CAT 3,Beechworth Montessori School,Independent,42 Gilchrist Ave,Beechworth,Indigo,North East
22,1560,CAT 3,Beechworth Primary School,Government,17 Junction Road,Beechworth,Indigo,North East
23,7575,CAT 3,Beechworth Secondary College,Government,85 Balaclava Road,Beechworth,Indigo,North East
24,1864,CAT 3,Belgrave Heights Christian School,Independent,20 Wattle Valley Road,Belgrave Heights,Yarra Ranges,Central
25,3551,CAT 3,Belgrave South Primary School,Government,175 Colby Drive,Belgrave South,Yarra Ranges,Central
26,319,CAT 3,Bellbrae Primary School,Government,50 School Road,Bellbrae,Surf Coast,Central
27,1883,CAT 3,Bethanga Primary School,Government,5 Beardmore Street,Bethanga,Towong,North East
28,3109,CAT 3,Beulah Primary School,Government,Henty Highway,Beulah,Yarriambiack,Mallee
29,1551,CAT 3,Big Hill Primary School,Government,5644 Calder Highway,Big Hill,Greater Bendigo,Northern Country
30,5193,CAT 3,Billanook Primary School,Government,270 Sheffield Road,Montrose,Yarra Ranges,Central
31,5048,CAT 3,Birmingham Primary School,Government,43-49 Francis Crescent,Mount Evelyn,Yarra Ranges,Central
32,4860,CAT 3,Blackburn Lake Primary School,Government,12 - 14 Florence Street,Blackburn,Whitehorse,Central
33,1324,CAT 3,Bolwarra Primary School,Government,249 Princes Highway,Bolwarra,Glenelg,South West
34,3612,CAT 3,Bona Vista Primary School,Government,520 Bona Vista Road,Bona Vista,Baw Baw,Central
35,2617,CAT 3,Boolarra Primary School,Government,Tarwin Street,Boolarra,Latrobe,East Gippsland
36,8882,CAT 3,Boort District P-12 School,Government,9 - 27 Malone Street,Boort,Loddon,Northern Country
37,776,CAT 3,Bright P-12 College,Government,46 Bakers Gully Road,Bright,Alpine,North East
38,1141,CAT 3,Bruthen Primary School,Government,31 Great Alpine Road,Bruthen,East Gippsland,East Gippsland
39,2072,CAT 3,Buangor Primary School,Government,26 School Road,Buangor,Ararat,South West
40,1905,CAT 3,Buchan Primary School,Government,4 Dalley Street,Buchan,East Gippsland,East Gippsland
41,1288,CAT 1,Bullarto Primary School,Government,131 Bullarto South Road,Bullarto,Hepburn,Central
42,1270,CAT 3,Buninyong Primary School - Scotsburn Primary School,Government,6859 Midland Highway,Scotsburn,Ballarat,Central
43,2229,CAT 3,Bunyip Primary School,Government,1290 Nar Nar Goon - Longwarry Road,Bunyip,Cardinia,Central
44,1669,CAT 3,Buxton Primary School,Government,2208 Maroondah Highway,Buxton,Murrindindi,North Central
45,123,CAT 3,California Gully Primary School,Government,4-14 Staley Street,California Gully,Greater Bendigo,Northern Country
46,3920,CAT 2,Cann River P-12 College,Government,20-24 Tamboon Road,Cann River,East Gippsland,East Gippsland
47,1030,CAT 3,Carisbrook Primary School,Government,2  Camp Street,Carisbrook,Central Goldfields,North Central
48,3497,CAT 3,Carlisle River Primary School,Government,49 Moomowroong Road,Carlisle River,Colac-Otway,South West
49,8824,CAT 3,Castlemaine Secondary College - Junior Campus,Government,Blakeley Rd,Castlemaine,Mount Alexander,North Central
50,1932,CAT 3,Castlemaine Steiner School,Independent,11 Rilens Rd,Muckleford,Mount Alexander,North Central
51,2081,CAT 3,Cathedral College Wangaratta - Murdoch Road Campus,Independent,344 Wangaratta-Whitfield Road,Wangaratta,Wangaratta,North East
52,576,CAT 3,Catholic Ladies' College Ltd,Catholic,19 Diamond Street,Eltham,Nillumbik,Central
53,116,CAT 3,Cavendish Primary School,Government,8-10 Barker Street,Cavendish,Southern Grampians,South West
